Age_Group,Gender,Nationality,Status,Location,Living_Situation,Monthly_Food_Budget_AED,Cooking_Frequency,Current_Spending_Per_Meal_AED,Delivery_Frequency,Interest_Level,Subscription_Preference,WTP_Per_Meal_AED,Meals_Per_Week,Taste_Satisfaction,Healthiness_Satisfaction,Affordability_Satisfaction,Convenience_Satisfaction,Variety_Satisfaction,Interested
18-24,Female,Middle East/North Africa,Working Professional (Bachelor/Single),Sharjah,Rented studio/apartment (alone),500-1000,2-3 times a week,15-20,Rarely,1,3,18.17,8-10,2,2,4,5,3,0
25-34,Male,Southeast Asia,Working Professional (Married),Abu Dhabi,Shared apartment with roommates,1500-2000,Rarely/Never,20-30,Once a week,1,1,33.56,3-4,2,4,4,1,4,0
55+,Male,Middle East/North Africa,Other,International City,Shared apartment with roommates,500-1000,2-3 times a week,15-20,Rarely,2,1,28.47,5-7,1,3,4,4,4,0
18-24,Female,Africa,Freelancer/Entrepreneur,Abu Dhabi,Rented studio/apartment (alone),500-1000,Once a week,20-30,Once a week,1,3,23.64,5-7,3,3,1,4,2,0
25-34,Female,Africa,Working Professional (Bachelor/Single),Dubai Marina,Company-provided accommodation,500-1000,4-6 times a week,15-20,Once a day,5,5,11.76,Would not order,2,2,2,5,2,1
35-44,Male,Middle East/North Africa,Local University/College Student,Dubai Academic City,University dormitory/hostel,500-1000,Once a week,20-30,Once a week,5,4,38.56,3-4,2,3,1,1,3,1
18-24,Female,Indian Subcontinent,Working Professional (Bachelor/Single),International City,Living with family,1000-1500,2-3 times a week,10-15,4-6 times a week,2,5,17.18,5-7,2,2,2,4,3,0
25-34,Female,Middle East/North Africa,Working Professional (Married),Dubai Marina,Shared apartment with roommates,1500-2000,4-6 times a week,20-30,Once a week,5,3,22.27,1-2,5,2,1,3,1,1
18-24,Male,Africa,International University/College Student,Sharjah,Shared apartment with roommates,500-1000,Daily,15-20,2-3 times a week,2,3,29.87,3-4,2,3,3,3,2,0
25-34,Male,Indian Subcontinent,Local University/College Student,Bur Dubai/Deira,University dormitory/hostel,1500-2000,Once a week,10-15,Never,3,2,17.43,Would not order,1,5,3,1,4,0
25-34,Male,Southeast Asia,Working Professional (Married),International City,Shared apartment with roommates,1000-1500,Once a week,15-20,4-6 times a week,3,2,15.05,5-7,1,2,4,3,3,0
25-34,Female,Southeast Asia,Local University/College Student,International City,Shared apartment with roommates,500-1000,2-3 times a week,20-30,4-6 times a week,3,3,10.01,3-4,3,2,3,3,5,0
18-24,Male,Southeast Asia,Working Professional (Bachelor/Single),JLT,University dormitory/hostel,1000-1500,4-6 times a week,15-20,Rarely,3,4,32.77,1-2,3,3,4,2,4,0
35-44,Female,Indian Subcontinent,Working Professional (Bachelor/Single),Dubai Academic City,Shared apartment with roommates,500-1000,Once a week,10-15,Multiple times a day,4,5,22.64,5-7,2,3,1,4,4,1
18-24,Female,Southeast Asia,International University/College Student,Dubai Academic City,Company-provided accommodation,1000-1500,Daily,More than 50,Once a week,4,5,50.42,5-7,2,4,1,4,2,1
18-24,Female,Africa,Local University/College Student,Dubai Academic City,University dormitory/hostel,1000-1500,2-3 times a week,20-30,Once a week,5,2,19.05,3-4,1,3,3,4,4,1
18-24,Male,Indian Subcontinent,Local University/College Student,Sharjah,Living with family,500-1000,4-6 times a week,30-50,Rarely,1,5,19.63,Would not order,2,1,2,5,1,0
25-34,Female,Indian Subcontinent,International University/College Student,Abu Dhabi,Shared apartment with roommates,500-1000,4-6 times a week,15-20,Rarely,2,3,22.48,1-2,2,5,2,3,3,0
25-34,Male,Americas,International University/College Student,JLT,Rented studio/apartment (alone),1000-1500,4-6 times a week,15-20,Rarely,1,2,28.95,3-4,1,3,2,5,3,0
Under 18,Female,Indian Subcontinent,Working Professional (Married),Ajman,Shared apartment with roommates,2000-3000,2-3 times a week,30-50,Once a day,4,5,23.24,More than 10,1,4,2,4,2,1
25-34,Male,Africa,International University/College Student,Dubai Academic City,University dormitory/hostel,500-1000,Daily,15-20,Once a week,1,4,31.9,3-4,1,3,3,3,4,0
18-24,Male,Middle East/North Africa,Working Professional (Bachelor/Single),JLT,University dormitory/hostel,1500-2000,2-3 times a week,20-30,Once a week,5,2,19.17,3-4,1,4,3,2,4,1
25-34,Female,Indian Subcontinent,International University/College Student,Dubai Academic City,University dormitory/hostel,1500-2000,2-3 times a week,10-15,Once a week,4,3,15.95,5-7,3,1,3,3,1,1
18-24,Male,Africa,Freelancer/Entrepreneur,Bur Dubai/Deira,University dormitory/hostel,2000-3000,2-3 times a week,15-20,Once a day,4,3,12.61,8-10,1,2,3,3,3,1
25-34,Male,Middle East/North Africa,International University/College Student,Abu Dhabi,Rented studio/apartment (alone),1500-2000,2-3 times a week,10-15,Once a week,4,4,10.0,1-2,2,4,2,3,2,1
25-34,Female,Middle East/North Africa,Local University/College Student,Bur Dubai/Deira,Company-provided accommodation,1000-1500,Rarely/Never,10-15,Never,2,4,22.86,More than 10,1,2,2,4,2,0
45-54,Female,Middle East/North Africa,Working Professional (Married),JLT,Living with family,1500-2000,Daily,Less than 10,Rarely,2,5,24.59,8-10,5,1,2,4,4,0
18-24,Female,Middle East/North Africa,Working Professional (Married),Bur Dubai/Deira,Rented studio/apartment (alone),2000-3000,2-3 times a week,Less than 10,2-3 times a week,3,1,21.95,1-2,4,4,2,3,2,0
18-24,Female,Indian Subcontinent,International University/College Student,International City,University dormitory/hostel,1000-1500,Daily,More than 50,Once a day,4,3,36.95,5-7,1,4,3,2,4,1
18-24,Male,Middle East/North Africa,Working Professional (Married),Ajman,Shared apartment with roommates,500-1000,Daily,10-15,2-3 times a week,3,4,36.82,3-4,2,1,4,4,1,0
45-54,Male,Americas,Working Professional (Bachelor/Single),Dubai Marina,Shared apartment with roommates,Less than 500,2-3 times a week,20-30,Once a week,2,4,24.32,3-4,1,4,3,3,3,0
35-44,Male,Indian Subcontinent,Working Professional (Bachelor/Single),JLT,Shared apartment with roommates,1500-2000,2-3 times a week,30-50,Once a week,5,3,12.65,8-10,2,3,2,5,3,1
18-24,Male,Southeast Asia,International University/College Student,Dubai Marina,Shared apartment with roommates,1500-2000,Rarely/Never,15-20,2-3 times a week,1,4,22.47,Would not order,1,3,3,2,2,0
25-34,Female,Indian Subcontinent,International University/College Student,Bur Dubai/Deira,Rented studio/apartment (alone),500-1000,2-3 times a week,10-15,Once a day,5,5,22.2,1-2,3,4,3,5,2,1
35-44,Female,East Asia,Working Professional (Married),International City,Shared apartment with roommates,1000-1500,Rarely/Never,20-30,2-3 times a week,5,5,21.74,3-4,2,2,3,1,4,1
25-34,Male,Indian Subcontinent,Working Professional (Bachelor/Single),Bur Dubai/Deira,Shared apartment with roommates,1000-1500,Daily,20-30,2-3 times a week,3,5,21.42,3-4,4,1,3,2,4,0
25-34,Male,Americas,Local University/College Student,Dubai Academic City,Living with family,500-1000,Daily,20-30,Rarely,2,5,21.77,3-4,1,2,3,1,2,0
18-24,Female,Middle East/North Africa,Working Professional (Married),Bur Dubai/Deira,Living with family,More than 3000,Daily,20-30,Once a week,2,4,23.91,3-4,4,3,3,4,3,0
18-24,Male,Indian Subcontinent,Working Professional (Married),Sharjah,Shared apartment with roommates,500-1000,4-6 times a week,More than 50,2-3 times a week,5,5,21.92,1-2,3,3,3,4,1,1
35-44,Female,Indian Subcontinent,International University/College Student,Sharjah,Company-provided accommodation,Less than 500,2-3 times a week,20-30,2-3 times a week,4,3,28.67,5-7,1,4,1,3,2,1
45-54,Male,Indian Subcontinent,Working Professional (Bachelor/Single),Dubai Marina,Company-provided accommodation,1000-1500,Once a week,15-20,Once a day,5,3,29.88,3-4,2,4,3,5,3,1
25-34,Female,Middle East/North Africa,International University/College Student,Dubai Marina,Shared apartment with roommates,1500-2000,Daily,20-30,Rarely,5,3,19.71,1-2,1,3,1,4,1,1
18-24,Male,Indian Subcontinent,Working Professional (Married),International City,Shared apartment with roommates,Less than 500,Rarely/Never,Less than 10,2-3 times a week,5,4,37.17,8-10,2,4,1,4,4,1
18-24,Female,East Asia,Working Professional (Bachelor/Single),Sharjah,Shared apartment with roommates,1500-2000,Rarely/Never,30-50,2-3 times a week,2,3,19.16,8-10,2,1,5,4,3,0
25-34,Female,Middle East/North Africa,Freelancer/Entrepreneur,Dubai Academic City,Company-provided accommodation,1000-1500,4-6 times a week,10-15,2-3 times a week,3,5,14.06,3-4,3,1,5,3,4,0
35-44,Female,Indian Subcontinent,International University/College Student,Dubai Marina,Company-provided accommodation,500-1000,Daily,15-20,Once a week,5,3,30.05,3-4,2,4,1,3,3,1
35-44,Female,Southeast Asia,International University/College Student,Dubai Academic City,University dormitory/hostel,500-1000,4-6 times a week,30-50,Once a week,3,1,20.46,5-7,4,1,3,5,4,0
35-44,Female,Southeast Asia,International University/College Student,International City,Shared apartment with roommates,1000-1500,Daily,20-30,Once a week,1,4,29.57,3-4,1,2,2,5,3,0
25-34,Female,Indian Subcontinent,International University/College Student,Bur Dubai/Deira,Rented studio/apartment (alone),500-1000,Daily,15-20,4-6 times a week,5,1,10.0,3-4,5,3,3,5,3,1
18-24,Male,Indian Subcontinent,International University/College Student,International City,Shared apartment with roommates,2000-3000,2-3 times a week,15-20,2-3 times a week,4,2,38.14,5-7,1,2,4,5,5,1
18-24,Female,Indian Subcontinent,Freelancer/Entrepreneur,Sharjah,University dormitory/hostel,1500-2000,4-6 times a week,30-50,Once a day,5,2,32.38,1-2,3,4,5,2,3,1
35-44,Female,Southeast Asia,International University/College Student,Dubai Academic City,Living with family,More than 3000,2-3 times a week,15-20,Once a week,4,4,15.0,1-2,2,2,3,4,1,1
25-34,Male,Southeast Asia,International University/College Student,International City,Rented studio/apartment (alone),500-1000,Rarely/Never,30-50,Once a day,2,3,15.17,1-2,1,1,2,3,3,0
Under 18,Female,Middle East/North Africa,Working Professional (Married),Dubai Marina,Living with family,More than 3000,Once a week,10-15,2-3 times a week,5,4,40.38,1-2,4,2,3,5,4,1
18-24,Female,East Asia,Local University/College Student,International City,Living with family,1000-1500,Rarely/Never,20-30,Rarely,3,4,21.1,1-2,2,3,2,3,4,0
25-34,Female,East Asia,Working Professional (Married),Dubai Academic City,Living with family,500-1000,Daily,30-50,Rarely,3,3,20.33,Would not order,3,2,4,3,3,0
Under 18,Male,Middle East/North Africa,International University/College Student,Bur Dubai/Deira,Shared apartment with roommates,Less than 500,2-3 times a week,10-15,2-3 times a week,4,3,10.0,3-4,3,3,4,3,3,1
18-24,Male,Africa,Working Professional (Bachelor/Single),International City,Rented studio/apartment (alone),Less than 500,2-3 times a week,15-20,2-3 times a week,1,3,24.19,1-2,2,4,3,3,5,0
25-34,Prefer not to say,Indian Subcontinent,International University/College Student,Sharjah,University dormitory/hostel,1500-2000,Daily,10-15,Once a day,4,4,25.18,3-4,2,4,2,1,1,1
25-34,Female,Indian Subcontinent,International University/College Student,International City,Rented studio/apartment (alone),1000-1500,Daily,20-30,Once a week,2,1,32.72,More than 10,3,2,2,5,3,0
25-34,Male,Indian Subcontinent,Freelancer/Entrepreneur,Dubai Academic City,University dormitory/hostel,500-1000,Once a week,15-20,Once a week,4,1,15.81,5-7,1,2,1,4,2,1
18-24,Female,Indian Subcontinent,International University/College Student,Sharjah,Rented studio/apartment (alone),1000-1500,Once a week,20-30,4-6 times a week,3,4,14.84,3-4,3,3,4,2,3,0
25-34,Female,Middle East/North Africa,Working Professional (Bachelor/Single),Dubai Academic City,Shared apartment with roommates,500-1000,2-3 times a week,10-15,2-3 times a week,5,4,30.61,8-10,4,4,3,4,3,1
18-24,Male,Europe,Local University/College Student,International City,University dormitory/hostel,1000-1500,2-3 times a week,10-15,Rarely,5,2,35.05,3-4,1,5,2,4,1,1
18-24,Female,Indian Subcontinent,Local University/College Student,JLT,University dormitory/hostel,1000-1500,2-3 times a week,Less than 10,Rarely,2,2,14.43,3-4,1,2,3,3,2,0
25-34,Male,Indian Subcontinent,Freelancer/Entrepreneur,Dubai Academic City,University dormitory/hostel,1500-2000,Daily,15-20,4-6 times a week,3,5,35.65,3-4,3,3,4,2,3,0
25-34,Male,Middle East/North Africa,International University/College Student,Sharjah,Rented studio/apartment (alone),1500-2000,2-3 times a week,15-20,2-3 times a week,3,5,27.3,3-4,2,2,1,4,1,0
35-44,Male,Europe,Working Professional (Bachelor/Single),Dubai Academic City,Living with family,1000-1500,4-6 times a week,30-50,4-6 times a week,2,4,35.73,3-4,2,1,4,4,2,0
25-34,Female,Indian Subcontinent,Freelancer/Entrepreneur,Sharjah,Shared apartment with roommates,1000-1500,Daily,20-30,Once a day,5,4,26.44,5-7,1,1,4,3,4,1
25-34,Male,Middle East/North Africa,Working Professional (Bachelor/Single),Ajman,University dormitory/hostel,1000-1500,Rarely/Never,15-20,Rarely,5,4,10.0,3-4,2,2,4,4,2,1
18-24,Male,Indian Subcontinent,Freelancer/Entrepreneur,JLT,University dormitory/hostel,1500-2000,Once a week,30-50,Once a week,2,5,25.78,5-7,1,3,2,1,3,0
18-24,Male,Indian Subcontinent,International University/College Student,Ajman,University dormitory/hostel,500-1000,Once a week,20-30,Once a week,3,5,35.48,1-2,2,1,2,3,4,0
18-24,Male,Americas,Local University/College Student,JLT,University dormitory/hostel,500-1000,4-6 times a week,30-50,Once a day,2,2,19.85,1-2,3,3,2,2,2,0
18-24,Female,Americas,International University/College Student,Abu Dhabi,Company-provided accommodation,Less than 500,2-3 times a week,15-20,Rarely,4,5,23.9,3-4,2,2,2,2,2,1
55+,Male,Indian Subcontinent,Working Professional (Married),International City,Shared apartment with roommates,1000-1500,4-6 times a week,10-15,2-3 times a week,2,2,25.59,More than 10,2,3,2,4,3,0
25-34,Male,Europe,Other,Bur Dubai/Deira,Shared apartment with roommates,1000-1500,Daily,Less than 10,2-3 times a week,5,2,10.0,3-4,5,2,3,5,4,1
35-44,Female,Southeast Asia,International University/College Student,Dubai Marina,University dormitory/hostel,1500-2000,4-6 times a week,20-30,2-3 times a week,5,4,40.37,5-7,3,1,3,3,4,1
25-34,Male,Africa,Working Professional (Bachelor/Single),JLT,Shared apartment with roommates,500-1000,Once a week,10-15,Once a day,4,3,19.79,3-4,4,2,4,2,4,1
35-44,Male,Middle East/North Africa,International University/College Student,Bur Dubai/Deira,Shared apartment with roommates,1000-1500,Once a week,15-20,Once a week,4,5,31.05,1-2,2,2,1,4,4,1
25-34,Male,Middle East/North Africa,Working Professional (Bachelor/Single),Bur Dubai/Deira,Rented studio/apartment (alone),1500-2000,2-3 times a week,15-20,2-3 times a week,5,1,26.31,1-2,3,3,3,4,2,1
25-34,Male,Middle East/North Africa,Working Professional (Bachelor/Single),International City,Shared apartment with roommates,1500-2000,2-3 times a week,20-30,4-6 times a week,4,4,37.06,3-4,1,1,4,4,1,1
25-34,Male,Southeast Asia,Freelancer/Entrepreneur,Dubai Academic City,University dormitory/hostel,1000-1500,Rarely/Never,20-30,4-6 times a week,2,5,30.25,1-2,1,3,4,4,2,0
18-24,Male,Indian Subcontinent,Working Professional (Bachelor/Single),Bur Dubai/Deira,Shared apartment with roommates,1000-1500,Daily,10-15,4-6 times a week,3,5,25.12,1-2,1,1,4,3,1,0
25-34,Male,Indian Subcontinent,Local University/College Student,Bur Dubai/Deira,Shared apartment with roommates,500-1000,4-6 times a week,15-20,Once a day,5,2,19.85,5-7,2,3,3,4,3,1
18-24,Female,Indian Subcontinent,International University/College Student,Abu Dhabi,University dormitory/hostel,2000-3000,2-3 times a week,20-30,2-3 times a week,4,3,33.38,1-2,4,3,4,2,3,1
18-24,Male,Southeast Asia,International University/College Student,Sharjah,Company-provided accommodation,500-1000,Once a week,More than 50,Rarely,4,4,12.01,5-7,2,1,2,3,1,1
25-34,Female,Indian Subcontinent,International University/College Student,Abu Dhabi,Rented studio/apartment (alone),2000-3000,Rarely/Never,20-30,Multiple times a day,5,2,32.17,3-4,3,2,3,3,4,1
18-24,Female,Southeast Asia,International University/College Student,Bur Dubai/Deira,Rented studio/apartment (alone),1500-2000,4-6 times a week,30-50,Once a day,5,5,18.21,5-7,3,1,1,3,2,1
45-54,Male,Americas,Working Professional (Married),Dubai Academic City,Shared apartment with roommates,1000-1500,Rarely/Never,20-30,2-3 times a week,5,5,37.02,5-7,3,3,1,5,3,1
45-54,Female,Indian Subcontinent,Working Professional (Bachelor/Single),International City,Shared apartment with roommates,Less than 500,Rarely/Never,20-30,Once a week,2,2,28.29,3-4,2,2,2,4,3,0
45-54,Male,Southeast Asia,Working Professional (Bachelor/Single),Sharjah,Rented studio/apartment (alone),1000-1500,4-6 times a week,10-15,2-3 times a week,4,2,32.15,3-4,3,3,1,2,2,1
25-34,Female,Middle East/North Africa,International University/College Student,Bur Dubai/Deira,Rented studio/apartment (alone),1000-1500,2-3 times a week,20-30,2-3 times a week,5,1,27.66,5-7,2,3,2,2,3,1
Under 18,Male,Africa,Working Professional (Married),International City,Rented studio/apartment (alone),500-1000,2-3 times a week,20-30,2-3 times a week,5,5,12.98,8-10,1,4,2,3,1,1
45-54,Male,Indian Subcontinent,Working Professional (Married),JLT,University dormitory/hostel,1500-2000,Rarely/Never,20-30,4-6 times a week,4,2,20.11,1-2,5,3,1,3,2,1
25-34,Male,Southeast Asia,International University/College Student,Abu Dhabi,Shared apartment with roommates,More than 3000,4-6 times a week,15-20,Multiple times a day,2,3,32.38,1-2,1,3,4,4,4,0
45-54,Prefer not to say,East Asia,Working Professional (Married),Dubai Marina,Shared apartment with roommates,1000-1500,Once a week,15-20,Once a week,5,3,28.33,8-10,1,2,1,5,4,1
45-54,Male,Europe,Working Professional (Bachelor/Single),JLT,Company-provided accommodation,1500-2000,2-3 times a week,15-20,Once a week,5,4,36.45,3-4,4,4,3,5,2,1
35-44,Female,Southeast Asia,International University/College Student,JLT,Rented studio/apartment (alone),Less than 500,Once a week,15-20,2-3 times a week,2,1,30.23,5-7,2,3,2,4,2,0
18-24,Male,Middle East/North Africa,Working Professional (Bachelor/Single),Dubai Academic City,Rented studio/apartment (alone),1000-1500,2-3 times a week,10-15,Once a week,4,2,19.27,3-4,3,2,4,4,3,1
25-34,Female,Southeast Asia,Working Professional (Bachelor/Single),JLT,University dormitory/hostel,500-1000,2-3 times a week,20-30,Once a week,2,5,20.63,1-2,2,4,4,3,4,0
35-44,Male,Africa,International University/College Student,JLT,Rented studio/apartment (alone),1000-1500,Rarely/Never,10-15,4-6 times a week,3,5,27.82,5-7,2,2,3,2,2,0
18-24,Female,Middle East/North Africa,Freelancer/Entrepreneur,International City,University dormitory/hostel,2000-3000,Rarely/Never,10-15,2-3 times a week,1,4,10.0,5-7,2,4,3,3,3,0
18-24,Male,Indian Subcontinent,Working Professional (Married),Sharjah,Shared apartment with roommates,1500-2000,Rarely/Never,15-20,Once a day,4,1,40.39,3-4,2,4,1,3,4,1
25-34,Male,Europe,Working Professional (Bachelor/Single),JLT,University dormitory/hostel,Less than 500,Daily,20-30,Once a day,4,3,30.53,3-4,2,1,5,4,3,1
45-54,Male,Southeast Asia,Working Professional (Bachelor/Single),Sharjah,Rented studio/apartment (alone),1000-1500,Once a week,15-20,Once a week,4,4,36.82,8-10,3,3,4,2,1,1
25-34,Male,Southeast Asia,Local University/College Student,Ajman,University dormitory/hostel,1000-1500,Daily,10-15,Rarely,4,3,14.36,5-7,2,2,4,3,3,1
25-34,Female,Indian Subcontinent,Working Professional (Bachelor/Single),Dubai Academic City,Shared apartment with roommates,1000-1500,2-3 times a week,15-20,Rarely,5,5,36.96,1-2,4,2,3,3,2,1
18-24,Male,Southeast Asia,Working Professional (Bachelor/Single),Bur Dubai/Deira,Company-provided accommodation,1500-2000,2-3 times a week,15-20,Once a week,3,4,44.85,5-7,1,2,2,5,3,0
25-34,Female,Middle East/North Africa,International University/College Student,JLT,University dormitory/hostel,1500-2000,2-3 times a week,30-50,4-6 times a week,2,1,16.43,5-7,2,3,4,3,3,0
55+,Male,Southeast Asia,Working Professional (Bachelor/Single),Ajman,Shared apartment with roommates,1000-1500,2-3 times a week,30-50,Once a day,5,5,33.17,8-10,3,2,2,4,4,1
18-24,Male,Indian Subcontinent,Working Professional (Married),Dubai Academic City,Shared apartment with roommates,1000-1500,Rarely/Never,15-20,Once a week,2,5,27.01,5-7,4,1,3,4,3,0
25-34,Male,Southeast Asia,Working Professional (Bachelor/Single),Bur Dubai/Deira,University dormitory/hostel,500-1000,Daily,15-20,2-3 times a week,5,1,14.64,1-2,1,3,1,2,2,1
35-44,Male,Other,International University/College Student,Bur Dubai/Deira,Living with family,500-1000,Once a week,20-30,Once a week,5,4,30.94,5-7,3,1,4,3,2,1
25-34,Female,Indian Subcontinent,Working Professional (Married),Dubai Academic City,University dormitory/hostel,1000-1500,2-3 times a week,Less than 10,Once a week,4,3,33.67,5-7,4,1,1,5,4,1
25-34,Male,Americas,International University/College Student,International City,Shared apartment with roommates,1000-1500,Daily,15-20,Once a week,5,3,22.19,1-2,1,2,2,3,1,1
25-34,Male,Middle East/North Africa,International University/College Student,Bur Dubai/Deira,Rented studio/apartment (alone),1500-2000,4-6 times a week,15-20,Rarely,2,2,36.33,3-4,4,2,3,5,2,0
18-24,Female,Africa,International University/College Student,Sharjah,Rented studio/apartment (alone),1500-2000,Rarely/Never,30-50,Once a day,3,4,13.67,3-4,1,2,4,2,2,0
18-24,Female,East Asia,Local University/College Student,Dubai Academic City,Rented studio/apartment (alone),Less than 500,Rarely/Never,Less than 10,Once a week,4,5,15.04,5-7,3,1,3,1,4,1
35-44,Male,Middle East/North Africa,Working Professional (Married),Bur Dubai/Deira,Shared apartment with roommates,1000-1500,Rarely/Never,15-20,Rarely,3,4,28.09,3-4,4,5,2,5,3,0
35-44,Male,Southeast Asia,Working Professional (Bachelor/Single),JLT,University dormitory/hostel,500-1000,Rarely/Never,20-30,4-6 times a week,5,1,27.2,5-7,3,3,1,4,2,1
35-44,Female,Africa,International University/College Student,Bur Dubai/Deira,Living with family,500-1000,4-6 times a week,15-20,Once a week,1,4,21.27,More than 10,2,2,4,5,2,0
45-54,Male,Middle East/North Africa,Working Professional (Married),Dubai Academic City,Rented studio/apartment (alone),1500-2000,2-3 times a week,10-15,2-3 times a week,4,3,33.48,8-10,1,2,5,4,4,1
25-34,Male,Indian Subcontinent,Working Professional (Married),Ajman,Living with family,Less than 500,Once a week,More than 50,Rarely,4,5,31.25,More than 10,4,2,4,5,3,1
25-34,Male,Southeast Asia,Working Professional (Married),Dubai Academic City,Living with family,1000-1500,2-3 times a week,15-20,Once a day,4,3,33.87,Would not order,2,3,3,4,3,1
35-44,Female,East Asia,International University/College Student,JLT,Living with family,500-1000,2-3 times a week,20-30,2-3 times a week,3,2,26.01,1-2,1,1,4,4,4,0
25-34,Female,Southeast Asia,Working Professional (Bachelor/Single),International City,Shared apartment with roommates,2000-3000,2-3 times a week,10-15,4-6 times a week,3,2,31.82,5-7,3,1,3,3,4,0
25-34,Male,East Asia,Other,International City,Shared apartment with roommates,1000-1500,Once a week,15-20,Once a week,5,4,23.43,3-4,2,4,3,3,2,1
35-44,Male,Middle East/North Africa,Working Professional (Married),Dubai Marina,Living with family,500-1000,2-3 times a week,15-20,4-6 times a week,2,3,43.43,8-10,1,2,3,5,5,0
35-44,Male,East Asia,International University/College Student,Dubai Academic City,Shared apartment with roommates,1000-1500,4-6 times a week,Less than 10,4-6 times a week,5,4,20.5,3-4,1,2,3,3,1,1
18-24,Female,Indian Subcontinent,International University/College Student,Sharjah,University dormitory/hostel,1500-2000,2-3 times a week,10-15,2-3 times a week,4,2,43.84,Would not order,1,4,4,3,2,1
25-34,Male,Middle East/North Africa,Working Professional (Bachelor/Single),International City,Living with family,More than 3000,2-3 times a week,30-50,Rarely,5,3,27.28,5-7,3,3,3,3,4,1
18-24,Male,Indian Subcontinent,Freelancer/Entrepreneur,JLT,Company-provided accommodation,500-1000,2-3 times a week,10-15,4-6 times a week,5,4,16.0,8-10,3,2,2,3,2,1
25-34,Female,Indian Subcontinent,Working Professional (Bachelor/Single),JLT,Shared apartment with roommates,2000-3000,4-6 times a week,10-15,4-6 times a week,3,5,37.94,1-2,2,3,2,3,2,0
18-24,Male,Middle East/North Africa,Working Professional (Bachelor/Single),International City,University dormitory/hostel,2000-3000,Once a week,15-20,Once a week,4,5,28.01,1-2,4,1,1,1,2,1
25-34,Female,Middle East/North Africa,International University/College Student,International City,Shared apartment with roommates,2000-3000,Daily,20-30,2-3 times a week,5,2,33.81,5-7,4,3,3,5,3,1
25-34,Male,Southeast Asia,Working Professional (Bachelor/Single),JLT,Living with family,1000-1500,2-3 times a week,Less than 10,Rarely,4,3,36.79,1-2,3,3,2,3,3,1
18-24,Male,Middle East/North Africa,Working Professional (Married),Dubai Marina,Company-provided accommodation,1000-1500,Once a week,20-30,4-6 times a week,5,2,29.7,8-10,1,4,1,4,3,1
25-34,Male,Middle East/North Africa,Local University/College Student,JLT,University dormitory/hostel,1000-1500,2-3 times a week,10-15,Once a week,4,4,22.26,1-2,3,4,3,2,4,1
18-24,Female,Indian Subcontinent,Working Professional (Married),Dubai Marina,University dormitory/hostel,1500-2000,4-6 times a week,Less than 10,4-6 times a week,2,4,34.81,5-7,2,4,3,1,3,0
18-24,Female,Middle East/North Africa,Freelancer/Entrepreneur,Bur Dubai/Deira,Company-provided accommodation,1000-1500,Once a week,Less than 10,4-6 times a week,4,5,27.01,3-4,3,4,4,2,2,1
35-44,Female,Indian Subcontinent,International University/College Student,International City,Shared apartment with roommates,1500-2000,2-3 times a week,30-50,Once a week,5,5,32.49,5-7,3,3,3,4,4,1
18-24,Male,Indian Subcontinent,Working Professional (Bachelor/Single),JLT,Rented studio/apartment (alone),1000-1500,Once a week,10-15,2-3 times a week,3,3,10.0,5-7,2,2,4,1,2,0
18-24,Female,Southeast Asia,International University/College Student,Abu Dhabi,Company-provided accommodation,1500-2000,Once a week,Less than 10,Once a week,5,4,30.58,3-4,4,2,4,5,1,1
25-34,Male,Southeast Asia,Working Professional (Married),Dubai Marina,University dormitory/hostel,1500-2000,Once a week,15-20,4-6 times a week,5,5,21.89,1-2,1,3,4,2,1,1
35-44,Male,Southeast Asia,Working Professional (Bachelor/Single),Bur Dubai/Deira,Rented studio/apartment (alone),500-1000,2-3 times a week,30-50,2-3 times a week,3,5,40.23,1-2,3,4,3,2,3,0
18-24,Female,Middle East/North Africa,Working Professional (Bachelor/Single),Dubai Academic City,University dormitory/hostel,1500-2000,Daily,10-15,2-3 times a week,2,1,31.98,5-7,1,2,2,2,1,0
25-34,Male,Middle East/North Africa,Working Professional (Married),Sharjah,Shared apartment with roommates,1000-1500,4-6 times a week,15-20,Never,5,3,28.92,5-7,4,4,5,1,1,1
18-24,Male,Africa,Local University/College Student,Sharjah,Living with family,1500-2000,2-3 times a week,Less than 10,4-6 times a week,3,3,30.89,5-7,1,4,2,4,2,0
18-24,Male,Middle East/North Africa,Freelancer/Entrepreneur,Dubai Marina,Shared apartment with roommates,1000-1500,Once a week,15-20,4-6 times a week,5,2,19.01,5-7,1,5,2,4,2,1
25-34,Male,Middle East/North Africa,Working Professional (Bachelor/Single),Abu Dhabi,Other,1000-1500,2-3 times a week,20-30,2-3 times a week,4,2,39.99,3-4,2,4,3,4,3,1
25-34,Male,Indian Subcontinent,International University/College Student,International City,Rented studio/apartment (alone),2000-3000,4-6 times a week,20-30,2-3 times a week,4,1,42.93,3-4,2,2,1,2,4,1
25-34,Female,Indian Subcontinent,Working Professional (Bachelor/Single),International City,Shared apartment with roommates,500-1000,Daily,15-20,4-6 times a week,5,4,30.14,1-2,1,1,5,3,4,1
25-34,Male,Middle East/North Africa,Working Professional (Married),Sharjah,Shared apartment with roommates,1500-2000,2-3 times a week,15-20,Rarely,4,3,39.72,3-4,3,1,3,3,2,1
